Div,HomeTeam,AwayTeam,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
E0,Man United,West Ham,M Atkinson,15,7,4,0,12,2,6,3,4,0,0,0,1.83,3.6,4.33,1.85,3.6,4.33,1.85,3.55,4.3,1.88,3.63,4.59,1.85,3.5,4.5,1.83,3.6,4.5,1.92,3.7,4.6,1.86,3.57,4.42,1.9,1.9,1.93,1.97,1.96,2.03,1.89,1.94,-0.5,1.87,2.06,1.88,2.04,1.89,2.08,1.86,2.03,1.75,3.6,4.8,1.8,3.5,4.75,1.8,3.55,4.6,1.81,3.68,5.05,1.75,3.5,5.25,1.8,3.6,4.8,1.87,3.75,5.41,1.79,3.6,4.83,2,1.8,2.09,1.81,2.13,2,2.02,1.81,-0.75,2,1.8,2.07,1.86,2.12,1.96,2.04,1.85
E0,Wolves,Liverpool,C Pawson,10,12,5,4,17,10,3,2,2,1,0,0,4.75,3.75,1.72,4.75,3.7,1.75,4.7,3.7,1.75,4.93,3.86,1.78,4.8,3.7,1.75,5,3.6,1.75,5.1,3.9,1.82,4.81,3.74,1.76,1.9,1.9,2.03,1.88,2.03,1.91,1.96,1.86,0.75,1.91,2.02,1.92,2,1.92,2.02,1.9,1.98,5.5,3.9,1.61,5.5,4,1.62,5.5,3.85,1.65,5.93,3.95,1.66,5.8,3.7,1.65,6,3.9,1.62,6,4.06,1.68,5.67,3.89,1.64,2.04,1.86,2.05,1.86,2.08,1.92,1.99,1.83,1,1.7,2.1,1.76,2.18,1.88,2.21,1.76,2.14
E0,Fulham,Leeds,D Coote,13,13,6,4,13,12,13,7,2,2,0,0,2.37,3.4,3,2.4,3.4,2.95,2.45,3.25,3,2.48,3.42,3.07,2.4,3.3,3,2.4,3.3,3.1,2.5,3.52,3.1,2.43,3.35,3,2,1.8,2.09,1.82,2.14,1.87,2.05,1.79,-0.25,2.1,1.83,2.13,1.82,2.14,1.84,2.11,1.81,2.5,3.3,2.87,2.6,3.3,2.75,2.55,3.25,2.85,2.56,3.45,2.94,2.55,3.3,2.8,2.6,3.25,2.88,2.65,3.45,2.94,2.57,3.29,2.84,2.2,1.66,2.16,1.77,2.21,1.85,2.11,1.74,0,1.86,2.07,1.83,2.11,1.88,2.11,1.84,2.04
E0,Brighton,Newcastle,A Taylor,11,3,6,1,12,5,3,1,0,1,0,0,1.66,3.5,6,1.65,3.5,6.5,1.65,3.6,6,1.67,3.61,6.73,1.67,3.5,6,1.65,3.6,6,1.72,3.62,7,1.66,3.54,6.24,2.3,1.61,2.35,1.66,2.37,1.7,2.26,1.65,-0.75,1.9,2.03,1.88,2.06,1.94,2.06,1.89,2.01,1.66,3.6,5.5,1.72,3.5,5.5,1.73,3.5,5.5,1.76,3.64,5.55,1.65,3.5,6.5,1.73,3.6,5.5,1.78,3.7,6.5,1.72,3.53,5.57,2.3,1.61,2.33,1.67,2.37,1.77,2.24,1.66,-0.75,2.01,1.92,2.02,1.91,2.05,2,1.98,1.91
E0,West Ham,Arsenal,J Moss,15,16,5,7,18,8,3,5,3,1,0,0,2.8,3.5,2.45,2.75,3.6,2.45,2.8,3.4,2.5,2.9,3.49,2.56,2.8,3.5,2.45,2.88,3.3,2.5,2.96,3.6,2.6,2.83,3.43,2.5,1.9,1.9,2.02,1.89,2.03,1.93,1.95,1.87,0,2.09,1.84,2.1,1.84,2.12,1.88,2.07,1.82,3.5,3.5,2.1,3.4,3.4,2.15,3.5,3.5,2.1,3.54,3.56,2.18,3.4,3.4,2.15,3.5,3.5,2.15,3.99,3.65,2.27,3.49,3.47,2.13,1.9,1.9,1.96,1.93,2.03,2.05,1.91,1.91,0.25,2.06,1.87,2.05,1.88,2.2,1.92,2.04,1.86
E0,Aston Villa,Tottenham,M Dean,8,9,1,3,18,13,5,8,3,2,0,0,2.9,3.3,2.45,2.9,3.4,2.45,2.95,3.35,2.4,3.03,3.46,2.48,3,3.4,2.38,2.9,3.4,2.4,3.11,3.5,2.5,2.97,3.38,2.42,1.9,1.9,1.89,2.01,1.92,2.03,1.85,1.97,0.25,1.82,2.11,1.82,2.13,1.84,2.13,1.81,2.09,2.9,3.4,2.4,3,3.4,2.35,3,3.4,2.35,3.12,3.54,2.39,3.1,3.3,2.38,3.1,3.4,2.38,3.23,3.55,2.45,3.05,3.42,2.36,1.94,1.96,1.94,1.96,2.03,2.05,1.9,1.92,0.25,1.88,2.05,1.88,2.06,2,2.1,1.87,2.03
E0,Chelsea,West Brom,D Coote,18,14,8,7,11,6,10,3,1,1,1,0,1.22,6,15,1.2,6.75,15,1.2,6.5,15,1.22,6.5,16.63,1.2,6.5,15,1.22,6,17,1.25,6.95,17,1.22,6.33,14.99,1.72,2.1,1.78,2.12,1.8,2.27,1.73,2.12,-1.75,2.02,1.91,2,1.91,2.04,1.99,1.98,1.91,1.25,5.75,12,1.26,5.75,12,1.27,5.25,13,1.3,5.73,12.2,1.24,6,13,1.3,5.25,12,1.33,6.19,13.86,1.28,5.57,11.9,1.9,1.9,1.93,1.97,1.98,2.12,1.87,1.94,-1.5,2.03,1.9,2.03,1.9,2.05,2.14,1.97,1.91
E0,Leeds,Sheffield United,G Scott,23,9,8,1,12,13,5,7,1,2,0,0,1.5,4.33,6.5,1.53,4.4,5.75,1.47,4.4,7,1.53,4.56,6.51,1.52,4.2,6.5,1.5,4.2,7,1.56,4.6,7,1.52,4.4,6.36,1.8,2,1.85,2.07,1.86,2.09,1.81,2.02,-1,1.92,2.01,1.92,2.01,1.95,2.02,1.89,1.99,1.53,4.2,6,1.53,4.33,6,1.5,4.2,7,1.6,4.17,6.25,1.52,4.2,6.5,1.53,4.1,7,1.61,4.4,7,1.56,4.17,6.2,1.9,1.9,1.93,1.97,1.95,2.07,1.88,1.94,-1,2.04,1.89,2.06,1.87,2.06,1.95,1.98,1.9
E0,Leicester,Man City,A Taylor,5,11,2,4,13,12,1,1,2,3,0,0,6,4.2,1.53,6.25,4.1,1.55,6.75,3.85,1.57,6.24,4.12,1.61,6.5,4,1.55,6,4,1.57,6.75,4.33,1.63,6.16,4.07,1.57,1.9,1.9,1.97,1.93,2,2.06,1.91,1.92,1,1.88,2.05,1.88,2.05,1.95,2.07,1.87,2.01,5.25,4.1,1.61,5.25,3.9,1.65,5.75,3.7,1.65,5.2,3.86,1.75,5.5,4,1.62,5.25,3.8,1.7,5.84,4.19,1.75,5.25,3.88,1.68,1.9,1.9,1.98,1.92,2.02,2.05,1.91,1.91,0.75,1.96,1.97,1.96,1.96,2.08,1.99,1.99,1.9
E0,Arsenal,Liverpool,S Attwell,3,16,2,7,10,10,1,2,1,1,0,0,3.1,3.7,2.15,3.1,3.6,2.2,3.1,3.5,2.25,3.18,3.66,2.3,3.1,3.5,2.25,3.13,3.5,2.25,3.26,3.7,2.35,3.13,3.56,2.26,1.72,2.1,1.81,2.11,1.87,2.14,1.78,2.06,0.25,1.92,2.01,1.93,1.99,1.95,2.02,1.91,1.97,2.75,3.6,2.4,2.8,3.6,2.4,2.8,3.55,2.4,2.94,3.69,2.43,2.88,3.5,2.4,2.88,3.6,2.4,3,3.85,2.51,2.84,3.58,2.42,1.72,2.1,1.75,2.18,1.79,2.28,1.72,2.13,0.25,1.82,2.11,1.83,2.11,1.86,2.16,1.8,2.1
